Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2022-01-11;73,54;73,56;71,91;72,54;2.488.494;180.427.584
2022-01-10;74,09;74,48;72,78;73,05;2.384.947;174.795.703
2022-01-07;75,04;75,68;73,37;73,56;2.755.179;204.204.840
2022-01-06;73,93;76,43;73,54;74,91;3.602.804;270.990.893
2022-01-05;72,40;75,05;72,40;75,00;5.106.683;379.588.373
2022-01-04;69,48;72,63;69,41;72,11;4.936.145;353.969.057
2022-01-03;68,50;69,19;67,89;68,70;2.654.611;181.965.519
2021-12-30;68,24;68,59;67,59;67,59;2.237.979;151.589.306
2021-12-29;69,60;69,75;68,18;68,23;2.470.115;169.246.916
2021-12-28;69,93;70,54;69,49;69,60;1.494.742;104.369.604
2021-12-27;69,88;70,18;69,50;69,89;1.243.078;86.733.632
2021-12-23;70,21;70,53;69,94;70,09;1.620.249;113.689.809
2021-12-22;68,70;69,69;68,16;69,69;1.839.788;127.487.604
2021-12-21;68,20;68,80;67,29;68,62;2.264.407;154.768.612
2021-12-20;66,70;67,82;66,48;67,30;4.786.790;321.553.841
2021-12-17;70,39;70,65;68,54;68,75;7.737.176;535.092.513
2021-12-16;72,52;72,96;71,02;71,74;3.421.998;245.793.220
2021-12-15;71,81;72,40;71,09;71,12;2.931.838;209.595.477
2021-12-14;73,00;73,74;71,47;71,47;4.265.644;307.747.884
2021-12-13;74,72;76,11;73,99;74,00;4.680.761;350.462.649
2021-12-10;73,20;75,31;71,01;74,25;7.213.204;532.158.999
2021-12-09;72,235;73,4187;71,5215;72,3442;4.118.202;298.123.323
2021-12-08;72,873;72,9654;70,7072;72,042;3.961.955;284.741.146
2021-12-07;72,9318;73,4774;72,4785;72,873;4.448.965;324.320.698
2021-12-06;72,7051;72,9906;71,0262;71,7482;3.346.342;240.186.200
2021-12-03;72,999;73,2592;71,2865;71,8825;4.038.910;290.863.242
2021-12-02;71,7482;73,3095;71,4376;72,2854;4.509.378;326.129.406
2021-12-01;70,7576;73,0661;70,0357;72,6884;4.977.452;359.256.628
2021-11-30;68,617;70,3882;67,5173;69,6747;7.067.667;488.640.150
2021-11-29;70,7408;70,9759;69,1291;69,5068;4.583.433;319.998.738
2021-11-26;71,3536;71,8405;69,0451;69,809;7.604.459;536.181.797
2021-11-25;74,6946;74,8793;73,7125;74,191;1.516.573;112.552.532
2021-11-24;75,66;75,7691;73,5278;74,1826;3.648.700;271.146.036
2021-11-23;75,5509;76,5582;75,2487;75,5845;2.839.143;215.146.646
2021-11-22;75,2991;76,7765;75,2151;76,3652;3.005.473;229.090.903
2021-11-19;76,3903;76,7429;74,7618;75,3746;5.367.170;405.940.505
2021-11-18;75,4669;76,9192;75,2739;76,3064;3.739.085;285.024.894
2021-11-17;74,9801;75,4586;74,5352;75,064;2.416.796;181.424.057
2021-11-16;74,8877;75,3998;74,3253;74,8877;2.829.826;211.992.985
2021-11-15;73,6789;74,8877;73,5782;74,5687;2.183.385;162.543.632
2021-11-12;73,511;73,9224;73,1249;73,7796;2.270.804;167.365.343
2021-11-11;73,788;74,4176;73,2172;73,3347;3.402.304;250.823.678
2021-11-10;73,4439;74,2078;72,7303;73,9475;3.060.415;225.600.790
2021-11-09;73,1584;74,0902;73,0913;73,3851;2.110.502;155.143.022
2021-11-08;73,1836;73,6034;72,68;73,2256;1.743.606;127.581.881
2021-11-05;72,4953;73,9224;72,4113;73,5278;3.113.146;228.702.324
2021-11-04;73,2172;74,0735;70,0944;73,0325;5.162.814;375.857.391
2021-11-03;72,6128;73,3095;72,0839;73,0577;2.506.822;182.567.256
2021-11-02;72,7807;73,2592;71,9244;73,1081;2.856.569;207.902.562
2021-11-01;72,1931;73,511;72,0252;73,0157;2.752.651;200.812.507
2021-10-29;69,8762;72,0504;69,4229;71,9748;5.211.886;373.267.362
